Term,Average_Polarity
ξεθυμαιν,0.0
ξεκουραζ,0.75
ξενιζ,-0.75
ξενοκινητ,-0.75
ξεπατικοτουρ,-0.75
ξεπατικωνω,-0.75
ξεπατικωτουρ,-0.75
ξεπλεν,-0.75
ξερν,-1.0
ξεροκομματ,-0.75
ξερ,-0.375
ξεσκιζ,-0.5
ξεσπ,-0.75
ξετρελαιν,1.0
ξεφτιλ,-1.0
ξεφτιλιζ,-0.25
ξεφτιλις,-1.0
ξεχειλιζ,-0.75
ξεχν,-0.5
ξινιζ,-1.0
ξοαν,-1.0
ξυλιαζ,-0.75
ξυλοποδαρ,-0.75
ξυν,-0.5
ξυπνω,-0.5
οθωμανικ,-0.5
οικονομιστικ,-0.5
οικοπεδοφαγος,-0.75
οικτιρ,-1.0
οικτ,-1.0
οιστρηλατω,0.5
οιστρ,1.0
ολκ,0.0
ολονυκτι,-0.5
ολονυχτι,-0.5
ομονοι,0.75
ομορφονι,-0.25
ομως,0.0
ονειρ,0.5
ονειρωξ,0.0
οπ,0.0
οπαδ,-0.5
οπερετ,-0.5
οπλισμ,0.0
οποι,0.0
ορας,0.0
ορδ,-0.25
ορεξατ,1.0
ορθολογισμ,0.5
ορνι,-1.0
ορφανευω,-0.75
ορφαν,-0.75
οσκαρ,0.5
οσμ,0.0
οσφρης,0.5
οσφυοκαμπτ,-1.0
ουνν,-0.75
ουρακοταγκ,-1.0
ουρανι,0.75
ουχ,-0.5
οφικι,-0.75
οχετ,-1.0
οχι,-0.5
οχλ,-0.75
οχ,-0.75
παγων,-0.75
παζαρ,-0.5
παθαιν,-0.75
παθιαζ,0.0
παθολογι,0.0
παθ,-0.25
παιγνιδακ,-0.25
παιγνιδ,0.0
παιδαριωδ,-1.0
παιδ,-0.25
παιδικ,-0.5
παιζ,0.25
παιχνιδακ,0.0
παιχνιδ,0.5
παλαβιαρ,-0.5
παλαβρ,-0.5
παλαιοημερολογιτ,-0.5
παλαιοημερολογιτικ,-0.5
παλαιοντολογικ,-0.5
παλαντζ,-1.0
παλικαρ,0.5
παλικαρι,1.0
παλιοπαρε,0.5
παλιοχαρτ,-1.0
παλληκαρ,0.25
παλληκαρι,0.75
παλλ,0.0
παμφαγος,0.5
παναγι,0.25
πανεμορφ,1.0
πανεπιστημ,-0.5
πανηγυρ,-0.5
πανηγυριζ,1.0
πανηγυρισμ,1.0
πανηγυριτζ,-1.0
πανηγυριωτικ,-0.25
πανηγυρτζ,-1.0
πανθε,0.75
παν,-0.5
πανικ,-1.0
παντογνωστ,-0.75
παντογνωστρι,-0.75
παπαδαρι,-0.75
παραγοντιζ,-0.5
παραγ,0.0
παραγωγ,0.0
παραθεριζ,0.25
παραθερισμ,0.25
παραισθης,-0.75
παραιτ,-0.5
παρακεντ,-1.0
παρακρους,-0.75
παραπον,-1.0
παραστας,-0.25
παρατ,-1.0
παραφερ,-0.75
παραφορ,0.1875
παρε,0.5
παρεξηγης,-0.5
παρορμης,-0.5
παρουσιας,0.0
παρταλ,-1.0
παρτσακλ,-1.0
πασαλειβω,-0.5
πασαλειφ,-0.5
πασπαρτ,-0.5
παστρικ,-0.5
παστωμ,-0.5
πασχ,-0.75
πατατ,-1.0
πατεντ,0.25
πατεντατ,0.25
πατερ,0.125
πατερουλ,1.0
πατσαβουρ,-1.0
παχυδερμι,-1.0
παχυδερμισμ,-0.75
πεζοδρομι,-0.75
πεθαμενατζ,-0.75
πεθαμενατζιδικο,-0.75
πειν,-1.0
πειναλ,-0.875
πειραζ,-0.75
πεκουνι,-0.5
πενθ,-1.0
πενταμορφ,1.0
πεποιθης,0.25
περδικουλ,0.25
περδ,-0.75
περιβαλλ,0.5
περιγραφ,0.25
περικαλ,0.0
περιοδ,0.0
περιποι,0.5
περισπουδαστ,-0.75
περιττολογι,-0.75
περιφρονης,-0.75
πεσκες,-0.25
πετρων,-0.75
πετς,-0.5
πηζ,-1.0
πηξιμ,-1.0
πιανω,0.0
πιατικ,-0.5
πιες,-0.75
πικ,-1.0
πικρ,-1.0
πικραιν,-1.0
πικρι,-1.0
πικριζ,-0.75
πικρισμ,-0.75
πιπ,-0.75
πλακ,-0.25
πλακωμ,-1.0
πλακων,-1.0
πλακως,-1.0
πλανταζ,-1.0
πλεμπ,-1.0
πλημμυριζ,0.0
πληξ,-1.0
πληττ,-1.0
πνιγ,-0.75
ποδ,0.0
ποδοσφαιροποιης,-0.75
ποθω,1.0
ποιης,0.25
ποιον,-0.25
ποιοτητ,0.25
πολιτικαντ,-1.0
πολιτικαντικ,-1.0
πολιτικαντισμ,-1.0
πολυξερ,-0.5
πονα,-1.0
πονοκεφαλιαζ,-1.0
πον,-1.0
ποντικοκουραδ,-0.75
πορνογραφι,-0.75
πουσταρ,-1.0
πουσταρι,-0.75
πουστ,-0.75
πουτσαρ,-0.5
πουτς,-0.5
πραγματικοτητ,0.0
πραγματισμ,0.25
πραγματιστ,0.0
πραιτοριαν,-0.5
πρακτορει,-0.25
πρακτορευς,-0.5
πρακτορευω,-0.5
προαιρες,0.5
προαισθαν,-0.25
προαισθημ,-0.25
προαισθης,-0.25
προβλεπ,0.25
προβλεψ,0.25
προβολ,0.25
προελευς,0.25
προκοβ,0.25
προκομμεν,0.5
προκοπ,0.5
προμαντεμ,-0.25
προμαντευ,-0.25
προμηνυμ,-0.25
προσευχ,0.25
προσηλυτ,-0.5
προσκυνημ,-0.25
προσκυν,0.0
προσοψ,-0.25
προσπαθ,0.25
προσποιης,-0.5
προστατευ,0.75
προστατ,0.25
προστατιδ,0.25
προστατις,0.25
προστατρι,0.25
προσυμφων,-0.5
προσφερ,0.5
προσωπει,-0.5
προσωπιδ,-0.5
προφεσορ,-0.75
προφητ,-0.5
προφητισς,-0.5
προχειρ,-0.75
πρωην,-0.25
πρωτακ,-0.25
πρωτοπαλικαρο,0.5
πυρ,0.5
πυργοδεσποιν,-0.75
πυργοδεσποτ,-0.75
πυρετ,-0.5
πυρπολ,-0.5
πυρων,-0.5
πυρως,-0.25
πωρωνω,-0.25
πωρως,0.25
πως,0.0
ραβασακ,-0.25
ραγιαδισμ,-0.75
ραγι,-0.75
ραγιζ,-0.75
ραλιστ,-0.5
ραμολ,-0.875
ραμολιμεντ,-1.0
ρεβεραντζ,-0.5
ρεμπεσκ,-1.0
ρεταλακ,-0.5
ρεταλ,-0.75
ρετσετ,-0.75
ρημαδ,-1.0
ρητορει,-0.25
ριγ,-0.75
ρομαντζ,0.5
ρομαντισμ,1.0
ροτ,0.25
ρουφηχτρ,-0.5
ρουφιαν,-1.0
ρωμαιικ,0.25
ρωμι,0.5
ρωμιοσυν,0.75
σαβουρ,-1.0
σαδισμ,-0.75
σαδιστ,-0.75
σαινι,0.5
σακατιλικ,-0.75
σακατισς,-0.75
σαλιαριζ,-1.0
σαλιαρισμ,-1.0
σαμιαμιδ,-0.75
σαμιαμιθ,-0.75
σαντεζ,-1.0
σαπουνοπερ,-1.0
σαραβαλ,-1.0
σαρκ,-0.5
σαρκι,-0.5
σαρξ,-0.5
σαστιζ,-1.0
σβιγκ,-0.5
σεβασμ,1.0
σεβ,1.0
σεμνυν,1.0
σερν,-0.75
σημερα,0.0
σιγουρι,0.5
σιγ,-0.75
σιλικονατ,-1.0
σιναφ,-1.0
σιροπιαζ,-0.5
σιτεμεν,-0.75
σιτευ,-0.5
σιχαιν,-0.5
σιχαμαρ,-0.5
σιχασι,-0.5
σιωπ,-0.625
σκανδαλιζ,-1.0
σκασμ,-1.0
σκατ,-0.875
σκατακι,-0.75
σκατενι,-1.0
σκατιλ,-1.0
σκατογερ,-1.0
σκατογρι,-1.0
σκατοδουλει,-1.0
σκατολογ,-0.75
σκατουλ,-0.625
σκατουλακ,-0.5
σκατουλιτς,-0.5
σκατων,-0.75
σκα,-1.0
σκελετ,-0.5
σκιρτημ,1.0
σκιρτ,1.0
σκλαβι,-1.0
σκλαβ,-1.0
σκλαβων,0.0
σκοτιζ,-1.0
σκουριαζ,-0.75
σκυλαραπ,-1.0
σκυλ,-0.375
σκυλολ,-1.0
σκυλομουρ,-1.0
σμπαραλιαζ,-1.0
σ,-0.5
σοκαρ,-1.0
σουαρε,-0.5
σουβλι,-0.75
σουλιμ,-0.75
σουρεαλ,-0.5
σουρεαλιστικ,-0.5
σουτ,-0.5
σουταρ,-0.75
σουφραζετ,-1.0
σοφι,0.5
σοφολογιοτατ,0.5
σπαραζ,-1.0
σπαραξικαρδι,-1.0
σπιτ,0.5
σπιτων,-0.75
σπλαχνικ,1.0
σπλαχν,0.75
σπουδαιολογημ,-0.75
σπουδαιολογι,-0.75
σπουδαι,0.75
σταλαζ,0.0
σταχτοπουτ,-0.75
στεγν,-0.5
στεγνων,-0.5
στεκ,-0.75
στενοχωρι,-0.5
στενοχωρ,-0.5
στερεοσκοπι,0.0
στερεοτυπ,-0.5
στερεοφωνι,0.0
στερης,-0.75
στερι,0.25
στερω,-0.75
στηθοκοπ,-1.0
στιλακ,0.0
στιλιζαρισμ,-0.75
στιλιζαρ,-0.75
στιφ,-0.5
στολιδ,1.0
στομαχ,-0.5
στομωμ,-0.5
στοργ,1.0
στουμπ,-0.75
στουμπων,-0.75
στουπ,-0.5
στουρναρ,-1.0
στουρν,-1.0
στραβαδ,-1.0
στραβοκαν,-1.0
στραβοκατινιαζ,-0.75
στραβ,-0.75
στραβουλιακ,-1.0
στραβωμαρ,-1.0
στραγγαλιζ,-0.75
στρατιωτακ,-0.75
στρατιωτ,-0.5
στρατιωτιν,-0.5
στρατολογι,-0.5
στρατ,-0.5
στρογγυλοκαθ,-0.5
συγγεν,0.5
συγκινης,0.5
συγκιν,0.5
συγκρυ,-1.0
συγχωρ,0.75
συλλυπ,-1.0
συμβαιν,0.0
συμβι,-0.5
συμβολισμ,0.5
συμμεριζ,0.75
συμμετεχ,0.5
συμμετοχ,0.5
συμμοριτ,-0.75
συμμοριτισς,-0.75
συμμοριτοπολεμ,-0.75
συμπαθει,1.0
συμπαθητικ,1.0
συμπαθ,1.0
συμπασχ,0.25
συμπλεγμ,-0.75
συμπονι,0.25
συμπονω,0.25
συμπραξ,0.5
συμπτωμ,-0.5
συναγωνιζ,0.5
συναισθαν,0.5
συναισθημ,0.5
συναισθηματικοτητ,0.5
συναισθηματισμ,0.5
συναισθης,0.5
συναισθησι,0.5
συναιτερ,0.0
συνδεσμ,0.75
συνδε,0.5
συνειδης,0.75
συνειρμ,-0.5
συνεπαιρν,1.0
συνεταιρακ,0.75
συνεταιρ,0.0
συνθημ,0.25
συννεφ,-1.0
συνοδει,0.0
συνοδοιπορ,0.5
συνοικεσι,-0.5
συνομοταξι,-0.5
συνταγ,-0.5
συνταξιουχ,-0.5
συντεχνι,-0.5
συντεχνιακ,-0.5
συντηρητικ,-0.5
συντροφευ,1.0
συντροφ,0.0
συντροφισς,-0.25
συρφετ,-0.75
συστελλ,-0.75
συστηματικ,0.5
σφιγγ,-0.75
σφιξιμ,-1.0
σφοδρ,0.0
σφουγγαροπανο,-0.75
σφυριζ,-0.25
σφυροκοπ,-0.5
σχηματικ,0.0
σχηματοποι,0.0
σχολαστικ,-0.25
σωσιβι,0.75
ταβερνει,-0.5
ταβερνοβι,-0.75
ταδοπουλ,-0.75
ταλεντ,0.75
ταμ,0.25
ταξ,0.75
ταξιδακ,0.75
ταξιδ,0.25
ταρατατζουμ,-0.5
ταριφ,-0.625
τας,0.0
ταυτιζ,0.0
ταυτις,0.0
τελει,0.75
τεμπελοσκυλ,-1.0
τενεκ,-0.75
τερμιν,-0.5
τερψ,1.0
τερψιλαρυγγι,-0.5
τετοι,-0.5
τεφτερ,-0.5
τεχνηεντως,-0.5
τεχνοκρατ,-0.5
τζιτζιφιογκ,-1.0
τζοβαιρ,1.0
τζοβεν,-0.5
τηλεγραφοξυλ,-0.75
τιτιζ,-0.75
τομαρ,-0.75
τον,0.0
τοποτηρητ,-0.5
τουβουλ,-0.75
τουρκαλ,-1.0
τουρκι,-1.0
τουρκομεριτ,-1.0
τουρκομπαροκ,-0.5
τουρκοσπορ,-1.0
τουρλων,-0.5
τραβηγμ,-0.5
τραβ,-0.25
τραγογεν,-0.75
τραγοπαπ,-0.75
τραγ,-0.75
τραλαλ,-0.5
τραμπακουλ,-0.75
τρελαδικ,-0.75
τρελογιατρ,-0.5
τρεφ,0.25
τριο,-0.75
τριτοκοσμικ,-1.0
τριχ,-0.75
τριχοτομης,-0.25
τρομαζ,-1.0
τρυγον,0.875
τρυγονακι,1.0
τρυπ,-0.625
τρυφεροτητ,1.0
τσαγκαροδευτερ,-1.0
τσακιδι,-1.0
τσακιζ,-1.0
τσαρλαταν,-0.75
τσιγγαναρι,-1.0
τσιγγαν,-0.75
τσιμεντουπολ,-0.75
τσιμπουκι,-0.5
τσιρακ,-1.0
τσομπαν,-0.75
τσοπαν,-0.75
τσουλουφι,-0.5
τσουρμ,-0.5
τσουτσεκι,-1.0
τυπικουρ,-0.75
τυπολατρ,-0.75
τυποποιης,-0.5
τυρογαλ,-1.0
τυφλ,-0.5
τυφλοσουρτ,-0.75
τυφλων,-0.5
τυχερακι,0.75
τυχερ,0.5
τυχερουλ,0.75
τυψ,-1.0
υβρ,-1.0
υμν,1.0
υπανδρ,-0.75
υπανθρωπ,-0.75
υπερηφανει,0.75
υπερηφανευ,0.75
υπεροχ,0.75
υπευθυνοτητ,0.75
υπνηλι,-0.75
υποβαθρ,0.5
υποβαλλ,0.0
υποδεχ,0.25
υποκειμεν,-0.5
υποκριν,-0.75
υποκριτ,-0.75
υπονοουμεν,-0.25
υποστας,0.0
υποφερω,-0.75
υποχρεων,-0.5
υποχρεως,-0.5
υποχωρ,-0.5
υστερι,-1.0
φαγουριζ,0.0
φαιν,0.0
φακιδιαρ,-1.0
φανταζω,0.5
φαρ,-1.0
φαρμακοτριφτ,-1.0
φασισταρι,-1.0
φασιστοειδ,-0.75
φασιστομουτρ,-1.0
φερεφων,-0.75
φθον,-1.0
φθονω,-1.0
φιδ,-1.0
φιεστ,0.0
φιλανθρωπι,0.5
φιλι,1.0
φιλμ,0.0
φιλοδωρ,0.0
φιλολογιζ,-0.75
φιλοξεν,0.5
φιλοπατρι,1.0
φιλοτομαρισμ,-0.75
φιλοτομαριστ,-0.75
φιογκ,-1.0
φλεγμ,-0.5
φλεγ,-0.5
φλογιζ,-0.5
φλογισμ,-0.5
φοβα,-1.0
φοβ,-1.0
φοιτηταρι,-1.0
φοιτητοπατερ,-1.0
φοραδ,-1.0
φορτιζ,-0.5
φορτι,-0.5
φορτις,-0.5
φουκαρ,-1.0
φουκαρατζικ,-1.0
φουντως,-0.5
φουσκοδεντρι,-0.75
φουσκωμαρ,-0.5
φουστανελ,-0.5
φραγκοπαπ,-1.0
φρεναπατ,-0.75
φρενιτιδ,-0.25
φρεσκαδ,1.0
φρικ,-1.0
φρικιαζ,-1.0
φριττ,-1.0
φροκαλ,-1.0
φρονημ,0.25
φρουτ,-0.75
φτ,-0.75
φτωχαδακ,-0.25
φτωχος,-0.75
φυλλαδ,-0.75
φωκι,-1.0
φωλιαζ,-0.25
φων,0.0
φωστηρ,-0.25
φωτιζ,0.25
φωτορομαντς,-0.5
χαδ,1.0
χαζοβιολ,-0.75
χαζοκουτι,-0.75
χαζοπουλι,-0.75
χαζουλιακ,-0.75
χαζοχαρ,-0.75
χαιμαλ,-0.75
χαιρεκακι,-0.5
χαιρετημ,-0.75
χαιρετισμ,-0.625
χαιρετουρ,-0.75
χαιρ,1.0
χαιτ,-0.25
χαλαζ,-0.5
χαλι,-1.0
χαμαλ,-0.75
χαμηλοβλεπους,-1.0
χαμογελ,1.0
χαμομηλι,-0.25
χαμομηλ,-0.25
χαμουτζ,-1.0
χανι,-0.75
χαντουμ,-1.0
χαπακι,-1.0
χαπ,0.75
χαρ,1.0
χαρβαλ,-1.0
χαρεμι,-0.5
χαριζ,0.75
χαριτοβρυτ,-0.5
χαρμολυπ,0.0
χαρτ,-0.5
χαρτοβαασιλει,-0.75
χαρτοβασιλει,-0.75
χαρτογιακ,-0.75
χαρτομαν,-0.75
χαρτομουτρ,-0.75
χαρτοπολεμ,-0.75
χασαπ,-0.75
χασικλ,-1.0
χαχολ,-0.75
χεζ,-0.75
χειραγωγ,-0.75
χειροκροτητ,-1.0
χιλιακριβ,1.0
χιουμορ,0.75
χοντρελ,-1.0
χοντρομπαλαδικ,-1.0
χοντρομπαλ,-1.0
χοντρομπαλουδικο,-1.0
χοντροπετς,-0.75
χορευ,0.75
χορταιν,0.75
χρησιμοποι,-0.5
χριζ,0.0
χρι,0.0
χρυσαφικ,-0.5
χρυσι,-0.75
χρυσοκανθαρ,-1.0
χρωματιζ,0.0
χτυπ,-0.75
χυδαισμ,-1.0
χυδαιστ,-1.0
χωριατακ,-0.75
χωριατ,-1.0
χωριατι,-1.0
χωριατικ,-0.5
χωριατισς,-1.0
χωριατομαν,-1.0
χωρ,0.0
ψαρ,-0.75
ψαροκασελ,-0.75
ψειρ,-0.75
ψειριαρ,-1.0
ψευδαισθης,-0.5
ψευδαισθησι,-0.5
ψευτοκουλτουριαρ,-1.0
ψηλων,0.25
ψιλικατζ,-1.0
ψιλικατζιδικ,-0.25
ψιμυθιο,-0.5
ψοφ,-0.5
ψοφολογ,-1.0
ψυλλιαζ,-0.5
ψυχακι,-0.75
ψυχανεμιζ,-0.5
ψυχανωμαλ,-0.75
ψυχεδελει,0.5
ψυχ,0.5
ψυχολογι,0.0
ψυχολογ,0.0
ψυχοπλακωμ,-1.0
ψυχοπλακων,-1.0
ψυχοπονω,-0.75
ψυχοσυνθες,0.0
ψυχροτητ,-1.0
ψωλαρ,-0.5
ψωλ,-0.5
ψωμακ,0.0
ψωμι,0.0
ψωμολυσς,-0.75
ψωναρ,-1.0
ψωνι,-1.0
ψωνισμενος,-1.0
ψωριαρ,-1.0
ψωριλ,-1.0
ψωροκακομοιρος,-1.0
ψωροπερηφαν,-1.0
ψωροφιλοτιμ,-1.0
ωραι,0.75
ωρυ,-1.0
ωσαν,-0.25
ωτακουστ,-0.5
ωχριω,-0.75
αγαπημεν,1.0
αγαπητ,1.0
αγν,0.75
αδει,-0.5
αδελφικ,0.75
αδιαλυτ,-0.5
αδιαντροπ,-1.0
αδολ,0.75
αηδ,-1.0
αισθαντικ,0.75
αισθηματικ,0.5
αισθητηρι,0.0
αισθητικ,0.75
ακαλαισθητ,-1.0
ακαλλιεργητ,-1.0
ακαρδ,-1.0
ακατασβεστ,0.0
ακορεστ,-0.5
ακουραστ,0.75
ακουστικ,0.5
ακτινοβολ,1.0
αλαλ,-0.25
αλογικ,-0.75
αλτρουιστικ,0.75
αλυπητ,-0.75
αμοιβαι,0.5
αναιδ,-1.0
αναισθητ,-1.0
αναισχυντ,-1.0
αναμεικτ,0.0
αναστατ,-0.75
αναυδ,-0.25
ανειλικριν,-0.75
ανεκδηλωτ,-0.25
ανεκφραστ,-0.5
ανελεητ,-1.0
ανεντροπιαστ,-1.0
ανευθυν,-1.0
ανθρωπιν,0.75
ανικανοποιητ,-0.5
ανοθευτ,0.5
ανοστ,-1.0
αντιαμερικανικ,-0.5
αντισημιτικ,-0.5
ανυποκριτ,0.25
ανωριμ,-1.0
ανω,0.75
αξιολατρευτ,1.0
αοριστ,-0.5
απαισι,-1.0
απανθρωπος,-1.0
απανθρωπ,-1.0
απελπισμεν,-1.0
απεριγραπτ,-0.25
απλ,0.25
απον,-1.0
απτικ,0.0
απυθ,-0.5
ασβεστ,0.0
ασεμν,-0.75
ασιγαστ,0.0
ασπροπροσωπ,1.0
αστατ,-0.75
αστοργ,-0.75
ασυγκρατητ,0.0
ασυναισθητ,-0.75
ασυνδετ,-0.5
ασφαλ,1.0
ασφυκτικ,-1.0
ασχημ,-1.0
αταραχ,-0.25
ατεγκτ,-0.75
ατρομητ,0.5
ατρομ,-0.25
αφιλανθρωπ,-0.75
αφοβ,0.25
αφων,0.0
αχαριστ,-1.0
αχορταγ,-1.0
βαθ,0.0
βαθι,0.0
βαριεστημεν,-1.0
βαρι,-0.75
γενικ,0.0
γενναιοφρ,0.75
γευστικ,1.0
γλυκερ,-0.75
γλυκι,0.5
δειλ,-0.75
δεκτ,0.0
διαισθητικ,-0.5
διακα,0.0
διατεθειμεν,0.0
διαχυτικ,1.0
δροσερ,1.0
δροσιστικ,0.75
δυνατ,0.75
εγκαρδι,1.0
εγκεφαλικ,-0.5
εθελοντικ,0.25
ειδεχθ,-1.0
ειλικριν,0.75
εκδηλωτικ,0.75
εκλεκτ,1.0
εκλιπ,-0.75
εκλιπους,-0.75
εκπληκτ,0.0
εκτεθει,-1.0
εκτεθειμεν,-1.0
εκφραστικ,0.5
εμβροντητ,-0.5
εμετικ,-1.0
εμπαθ,-1.0
εμπλ,0.5
ενδοτατ,0.0
ενθερμ,0.75
εντιμ,0.75
εντον,-0.5
εξαλλ,-0.75
επαλληλ,0.0
επεισοδιακ,-0.75
επιδερμικ,-0.5
επικτητ,0.0
επιπολαι,-0.75
επιφυλακτικ,-0.75
επωδυν,-1.0
ερωτικ,1.0
εσωψυχ,0.0
ετοιμ,0.0
ευαισθητ,0.25
ευγενικ,0.75
ευγνωμ,0.75
ευηχ,1.0
ευλαβ,1.0
ευσεβ,1.0
ευτυχις,1.0
ευτυχισμεν,1.0
ζεστ,1.0
ζωηρ,0.5
ζωογον,1.0
ζωοφιλ,0.5
ηδονικ,0.0
ηλιοχαρ,1.0
ημερ,0.75
ησυχος,0.5
ησυχ,0.5
θερμικ,0.0
θερμοαιμ,-0.25
θερμοκεφαλ,-0.5
θερμ,0.75
θετικ,1.0
θλιβερ,-1.0
θλιμμεν,-1.0
θολ,-0.75
θρησκευτικ,-0.5
θυμωμεν,-1.0
ιωδ,0.0
κακοηχ,-0.75
κακοκαρδ,-0.75
κακ,-0.75
καλαισθητικ,1.0
καλλιτεχνικ,0.5
καλοδιαθετ,1.0
καλοκαρδ,0.75
καταχαρ,1.0
κατω,-0.75
κιναισθητικ,0.0
κλειστ,-0.5
κοιν,-0.5
κρυφ,-0.5
λεπταισθητ,0.75
λεπτ,0.5
λυπητερ,-1.0
λυρικ,0.0
μεθυσμεν,-0.25
μεθυς,-0.25
μεθυστικ,1.0
μελαγχολικ,-1.0
μικροπρεπ,-0.75
μισανθρωπ,-1.0
μον,-0.5
μουγγ,-0.75
μουτρωμεν,-1.0
μπαφιασμεν,-1.0
μυικ,0.0
νευρικ,-1.0
νηφαλι,1.0
ντροπαλ,-1.0
ξεκρεμαστ,-0.75
ξενοφοβ,-1.0
οιστρηλατ,0.5
οκταωρ,0.0
ομοιοπαθ,-0.5
οπτικ,0.0
οργανικ,-0.25
παγερ,-0.5
παθητικ,-0.5
πανηγυρικ,1.0
παραξεν,-0.75
παρεισακτ,-0.75
πατριωτικ,0.25
παχυδερμ,-1.0
περιεργ,-0.75
περιπαθ,-0.25
πετριν,-0.75
πικραμεν,-1.0
πλασματικ,-0.25
πληρ,0.5
προσποιητ,-0.75
πρωτογνωρος,0.5
πρωτογνωρ,0.5
πυριν,-0.25
ραγιαδικ,-0.75
ροδιν,1.0
ρομαντικ,1.0
σαδιστικ,-0.75
σαστις,-1.0
σαστισμεν,-1.0
σκανδαλιστικ,-1.0
σπαραχτικ,-1.0
στατικ,-0.75
στεναχωρ,-0.5
στενοχωρημεν,-0.5
στοματικ,0.0
στοργικ,1.0
στρεβλος,-0.75
στρεβλ,-0.75
στυγν,-1.0
στυφ,-1.0
συγκεχυ,-0.75
συγκεχυμεν,-0.75
συμφυ,0.25
συναισθηματικ,0.75
συνδεδεμενος,0.5
συνδεδεμεν,0.5
συνειδητ,-0.25
συνεσταλ,-0.5
συνεσταλμεν,-0.5
συνετ,0.75
συντετριμμεν,-1.0
σχετικ,0.75
σωφρ,0.75
τραγικ,-1.0
τρελος,-0.25
τρελ,-0.25
τρεμα,-0.75
τρυφερος,1.0
τρυφερ,1.0
υπερηφαν,0.75
υπερφιαλ,-1.0
υπευθυν,0.75
υποχρεωτικ,-0.5
υψηλοφρ,0.75
φιλανθρωπ,0.75
φιλοαμερικανικ,-0.75
φιλ,1.0
φλεγματικ,-0.5
χορταστικ,1.0
ψευδαισθητικ,-0.5
ψυχεδελικ,0.5
ψυχρ,-1.0
ψωροκακομοιρ,-1.0
ωμ,-0.75
